INFO  - 2013-12-19 10:32:06.997; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-12-19 10:32:07.075; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-19 10:32:07.084; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-19 10:32:07.238; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-12-19 10:32:07.245; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/mlp/flax/hackday/ukmp/solr/collection1/, dataDir=/home/mlp/flax/hackday/ukmp/solr/collection1/data/
INFO  - 2013-12-19 10:32:07.246; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-12-19 10:32:07.249; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-12-19 10:32:07.250; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-12-19 10:32:07.263; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/mlp/flax/hackday/ukmp/solr/collection1/data
INFO  - 2013-12-19 10:32:07.263; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/mlp/flax/hackday/ukmp/solr/collection1/data/index/
INFO  - 2013-12-19 10:32:07.264; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/mlp/flax/hackday/ukmp/solr/collection1/data/index
INFO  - 2013-12-19 10:32:07.273; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-12-19 10:32:07.273; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-12-19 10:32:07.273; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-12-19 10:32:07.276; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-12-19 10:32:07.277; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-12-19 10:32:07.361; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2013-12-19 10:32:07.370; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.370; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.372; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-12-19 10:32:07.372; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.372; org.apache.solr.core.RequestHandlers; created /morris: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.375; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
WARN  - 2013-12-19 10:32:07.387; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.JsonUpdateRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2013-12-19 10:32:07.388; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
WARN  - 2013-12-19 10:32:07.389; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.CSVRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2013-12-19 10:32:07.390; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-12-19 10:32:07.390; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-12-19 10:32:07.390; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-12-19 10:32:07.391; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-12-19 10:32:07.391; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-12-19 10:32:07.391; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-12-19 10:32:07.391; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-12-19 10:32:07.393; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-12-19 10:32:07.395; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-12-19 10:32:07.396; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-12-19 10:32:07.404; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-12-19 10:32:07.404; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.404; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.404; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.404; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.405; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.405; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.405; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.405; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-12-19 10:32:07.419; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-19 10:32:07.422; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-19 10:32:07.422; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-19 10:32:07.448; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
